Toplam Doğru Pozitif(TP) adedi:	34
Toplam Doğru Negatif(TN) adedi:	678
Doğru Pozitif oranı(TP rate)	0.9714286
Doğru Negatif oranı(TN rate)	0.978355
Doğruluk oranı(Accuray):	0.978022
Overall Score için tahmin ettiği değer:
Orjinal		Tahmin		olasılık
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.62732875
good		good		0.71750146
bad		bad		1.0
good		good		0.6801385
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.52750295
bad		bad		0.7257888
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.8593996
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.70956975
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		good		0.84438443
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		good		0.5646987
bad		bad		1.0
bad		bad		1.0
bad		bad		0.5746478
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.79029614
bad		bad		1.0
good		bad		0.501033
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		good		0.5220151
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		bad		0.66598684
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.7934555
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		bad		0.5867465
bad		bad		0.6590882
bad		bad		1.0
good		good		0.56591433
good		good		0.7160815
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		0.75362235
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		good		0.8182623
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
good		good		0.795915
bad		bad		1.0
bad		bad		0.7002892
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
bad		bad		1.0
